設定收費區代碼,緯度,經度
01F0005N,25.118311,121.731636
01F0005S,25.118786,121.731764
01F0017N,25.109567,121.725906
01F0017S,25.109567,121.725906
01F0029N,25.102836,121.717856
01F0029S,25.102836,121.717856
01F0061N,25.088272,121.693644
01F0061S,25.088272,121.693644
01F0099N,25.076044,121.659422
01F0099S,25.076264,121.659478
01F0147N,25.065644,121.613519
01F0147S,25.065644,121.613519
01F0153N,25.064911,121.607778
01F0153S,25.064911,121.607778
01F0182S,25.068986,121.580231
01F0213N,25.073053,121.550358
01F0233N,25.073019,121.530703
01F0248S,25.077631,121.516603
01F0256N,25.078067,121.509106
01F0264S,25.077464,121.501386
01F0293N,25.074797,121.472961
01F0293S,25.074797,121.472961
01F0340N,25.068,121.428056
01F0339S,25.068239,121.428764
01F0376N,25.058667,121.397306
01F0376S,25.058667,121.397306
01F0413N,25.064969,121.363561
01F0413S,25.064969,121.363561
01F0467N,25.047075,121.317761
01F0467S,25.047075,121.317761
01F0492N,25.036481,121.295531
01F0492S,25.036481,121.295531
01F0511N,25.025953,121.281731
01F0511S,25.025953,121.281731
01F0532N,25.012944,121.266194
01F0532S,25.012944,121.266194
01F0557N,24.998583,121.247722
01F0557S,24.998583,121.247722
01F0578S,24.984414,121.233197
01F0584N,24.980558,121.228944
01F0633N,24.949281,121.195594
01F0633S,24.949281,121.195594
01F0664N,24.929544,121.176919
01F0664S,24.929544,121.176919
01F0681N,24.917967,121.167586
01F0681S,24.917967,121.167586
01F0699N,24.903297,121.159761
01F0699S,24.903297,121.159761
01F0750N,24.893436,121.111731
01F0750S,24.893436,121.111731
01F0880N,24.848719,121.019031
01F0880S,24.848719,121.019031
01F0928N,24.808453,121.010306
01F0928S,24.808453,121.010306
01F0950S,24.789622,121.005247
01F0956N,24.783944,121.003725
01F0979N,24.764414,120.999897
01F0980S,24.763586,120.998861
01F1045N,24.727131,120.951897
01F1045S,24.727131,120.951897
01F1123N,24.679317,120.904267
01F1123S,24.679317,120.904267
01F1292N,24.550442,120.838925
01F1292S,24.550442,120.838925
01F1389N,24.485919,120.781903
01F1389S,24.485919,120.781903
01F1465N,24.420514,120.775731
01F1465S,24.420514,120.775731
01F1572N,24.339147,120.72085
01F1572S,24.339147,120.72085
01F1621N,24.301186,120.697325
01F1621S,24.301186,120.697325
01F1664N,24.262647,120.691956
01F1664S,24.262647,120.691956
01F1699N,24.231536,120.686625
01F1699S,24.231536,120.686625
01F1774N,24.184592,120.635611
01F1774S,24.184592,120.635611
01F1802N,24.163706,120.621933
01F1802S,24.163706,120.621933
01F1839N,24.130767,120.617247
01F1839S,24.130767,120.617247
01F1906N,24.113572,120.568131
01F1906S,24.113572,120.568131
01F1960N,24.085622,120.52785
01F1960S,24.085622,120.52785
01F2011N,24.040639,120.522786
01F2011S,24.040639,120.522786
01F2089N,23.971794,120.506117
01F2089S,23.971794,120.506117
01F2156N,23.912769,120.49765
01F2156S,23.912769,120.49765
01F2249N,23.830569,120.484881
01F2249S,23.830569,120.484881
01F2322N,23.766328,120.469342
01F2322S,23.766328,120.469342
01F2394N,23.702603,120.474917
01F2394S,23.702603,120.474917
01F2425N,23.677375,120.462281
01F2425S,23.677375,120.462281
01F2472N,23.639556,120.443114
01F2472S,23.639556,120.443114
01F2514N,23.601989,120.435417
01F2514S,23.601989,120.435417
01F2603N,23.526739,120.405583
01F2603S,23.526739,120.405583
01F2674N,23.469403,120.3777
01F2674S,23.469403,120.3777
01F2714N,23.436367,120.361561
01F2714S,23.436367,120.361561
01F2827N,23.347469,120.322192
01F2827S,23.347469,120.322192
01F2866N,23.320994,120.298703
01F2866S,23.320994,120.298703
01F2930N,23.272589,120.265769
01F2930S,23.272589,120.265769
01F3019N,23.197286,120.236422
01F3019S,23.197286,120.236422
01F3083N,23.140751,120.23327
01F3083S,23.140751,120.23327
01F3126N,23.104817,120.247681
01F3126S,23.104817,120.247681
01F3185N,23.051311,120.253025
01F3185S,23.051311,120.253025
01F3227N,23.014172,120.249997
01F3227S,23.014172,120.249997
01F3252N,22.991814,120.248175
01F3252S,22.991814,120.248175
01F3286N,22.960903,120.249822
01F3286S,22.960903,120.249822
01F3366N,22.892619,120.27215
01F3366S,22.892619,120.27215
01F3398N,22.867419,120.284989
01F3398S,22.867419,120.284989
01F3460N,22.818039,120.312731
01F3460S,22.818039,120.312731
01F3535N,22.752806,120.334056
01F3535S,22.752806,120.334056
01F3559N,22.730903,120.334286
01F3561S,22.728956,120.333764
01F3590N,22.703364,120.328181
01F3590S,22.703364,120.328181
01F3640N,22.658892,120.332081
01F3640S,22.658892,120.332081
01F3676N,22.627819,120.336222
01F3676S,22.627819,120.336222
01F3686S,22.619119,120.336647
01F3696N,22.609428,120.339608
01F3736N,22.581933,120.32315
01F3736S,22.581933,120.32315
01H0163S,25.064006,121.598733
01H0174N,25.065544,121.588044
01H0200N,25.070994,121.562519
01H0206S,25.07275,121.557739
01H0208N,25.072261,121.555014
01H0271N,25.075256,121.494019
01H0305S,25.075553,121.460661
01H0333N,25.068147,121.435133
01H0334S,25.068728,121.433281
01H0447N,25.059242,121.332072
01H0447S,25.060125,121.331858
01H0579N,24.983667,121.232981
01H0579S,24.984094,121.232531
01H0608N,24.965878,121.211614
01H0610S,24.96525,121.209867
03A0015N,25.011819,121.562375
03A0015S,25.011819,121.562375
03A0041N,25.003864,121.586039
03A0041S,25.003864,121.586039
03F0006S,25.137106,121.708908
03F0021N,25.129514,121.698631
03F0054N,25.103747,121.681789
03F0087S,25.089994,121.653556
03F0116N,25.065611,121.643467
03F0116S,25.065611,121.643467
03F0136S,25.052742,121.631281
03F0140N,25.050319,121.628156
03F0150N,25.042389,121.624789
03F0158S,25.036533,121.621386
03F0201N,25.007375,121.596381
03F0201S,25.007436,121.595981
03F0217N,24.993744,121.593367
03F0217S,24.993567,121.592933
03F0301N,24.96255,121.530572
03F0301S,24.96255,121.530572
03F0337S,24.978881,121.502381
03F0338N,24.978586,121.501744
03F0394N,24.975247,121.454925
03F0394S,24.975247,121.454925
03F0447N,24.950503,121.412681
03F0447S,24.950503,121.412681
03F0498N,24.943825,121.365275
03F0498S,24.943825,121.365275
03F0525N,24.936025,121.3419
03F0525S,24.936025,121.3419
03F0559N,24.930225,121.312458
03F0559S,24.930225,121.312458
03F0648N,24.878792,121.250839
03F0648S,24.878792,121.250839
03F0698N,24.856558,121.208581
03F0698S,24.856558,121.208581
03F0746N,24.816364,121.200339
03F0746S,24.816364,121.200339
03F0783N,24.797339,121.179128
03F0783S,24.797339,121.179128
03F0846N,24.791439,121.125997
03F0846S,24.791439,121.125997
03F0961N,24.758442,121.030425
03F0961S,24.758442,121.030425
03F0996N,24.755811,120.997269
03F0996S,24.755811,120.997269
03F1022N,24.757914,120.972267
03F1022S,24.757914,120.972267
03F1051N,24.753094,120.945675
03F1051S,24.753094,120.945675
03F1128N,24.711383,120.889639
03F1128S,24.711383,120.889639
03F1161N,24.698006,120.860086
03F1161S,24.698006,120.860086
03F1215N,24.655964,120.838242
03F1215S,24.655964,120.838242
03F1257N,24.627161,120.814006
03F1257S,24.627161,120.814006
03F1332N,24.579642,120.764417
03F1332S,24.579642,120.764417
03F1395N,24.531125,120.733253
03F1395S,24.531125,120.733253
03F1485N,24.467308,120.681217
03F1485S,24.467308,120.681217
03F1633N,24.341119,120.651567
03F1633S,24.341119,120.651567
03F1651N,24.334719,120.635578
03F1651S,24.334719,120.635578
03F1710N,24.292881,120.601964
03F1710S,24.292881,120.601964
03F1739N,24.269464,120.590806
03F1739S,24.269464,120.590806
03F1779N,24.234647,120.593306
03F1779S,24.234647,120.593306
03F1860N,24.177831,120.548244
03F1860S,24.177831,120.548244
03F1941N,24.120947,120.534547
03F1944S,24.119011,120.536692
03F1991S,24.102808,120.577661
03F1992N,24.102525,120.578747
03F2066N,24.070333,120.639711
03F2066S,24.070333,120.639711
03F2078N,24.067958,120.651433
03F2079S,24.067778,120.652361
03F2100N,24.060428,120.671533
03F2100S,24.060653,120.670964
03F2125N,24.040994,120.677853
03F2129S,24.037419,120.675925
03F2152S,24.019992,120.663222
03F2153N,24.018944,120.663161
03F2194N,23.985844,120.652714
03F2194S,23.985844,120.652714
03F2231N,23.957103,120.657614
03F2235S,23.955503,120.661267
03F2260N,23.937928,120.676853
03F2261S,23.9376,120.677039
03F2306N,23.906781,120.702828
03F2306S,23.906781,120.702828
03F2336N,23.882031,120.709186
03F2336S,23.882031,120.709186
03F2415N,23.814836,120.700003
03F2415S,23.814836,120.700003
03F2447N,23.787486,120.704519
03F2447S,23.787486,120.704519
03F2535N,23.775581,120.6259
03F2535S,23.775581,120.6259
03F2614N,23.724425,120.601786
03F2614S,23.724425,120.601786
03F2709N,23.649278,120.572911
03F2709S,23.649142,120.57295
03F2747N,23.618203,120.558567
03F2747S,23.618203,120.558567
03F2777N,23.606792,120.532511
03F2777S,23.606792,120.532511
03F2840N,23.558125,120.505061
03F2840S,23.558125,120.505061
03F2899N,23.511683,120.486328
03F2899S,23.511683,120.486328
03F2923N,23.492078,120.494586
03F2923S,23.492078,120.494586
03F2985N,23.442486,120.4812
03F2985S,23.442486,120.4812
03F3101N,23.361253,120.436356
03F3101S,23.361253,120.436356
03F3187N,23.296692,120.404164
03F3187S,23.296692,120.404164
03F3211N,23.279281,120.390253
03F3211S,23.279281,120.390253
03F3259N,23.244994,120.367378
03F3259S,23.244994,120.367378
03F3307N,23.203275,120.355461
03F3307S,23.203275,120.355461
03F3392N,23.132064,120.333711
03F3392S,23.132064,120.333711
03F3445N,23.085272,120.329033
03F3445S,23.085272,120.329033
03F3496N,23.040203,120.325172
03F3496S,23.040203,120.325172
03F3588N,22.969758,120.340164
03F3588S,22.969758,120.340164
03F3670N,22.901969,120.354767
03F3670S,22.901969,120.354767
03F3743N,22.845122,120.385428
03F3743S,22.845122,120.385428
03F3854N,22.769197,120.441839
03F3854S,22.769197,120.441839
03F3916N,22.749792,120.496839
03F3916S,22.749792,120.496839
03F3981S,22.7058,120.539336
03F3984N,22.704642,120.541133
03F4018S,22.682775,120.563086
03F4021N,22.680347,120.563311
03F4142N,22.579586,120.526161
03F4142S,22.579586,120.526161
03F4168N,22.557408,120.524761
03F4168S,22.557186,120.524558
03F4232N,22.501367,120.525775
03F4232S,22.501367,120.525775
03F4259N,22.477464,120.531386
03F4263S,22.474661,120.530844
05F0000S,25.035183,121.623019
05F0001N,25.035036,121.624719
05F0055N,24.996503,121.652086
05F0055S,24.996503,121.652086
05F0287N,24.842714,121.789183
05F0287S,24.842714,121.789183
05F0309N,24.823656,121.786347
05F0309S,24.823656,121.786347
05F0438N,24.711028,121.789478
05F0439S,24.710683,121.789461
05F0494S,24.662581,121.799908
05F0528N,24.632728,121.806958
05FR113S,24.733789,121.782022
05FR143N,24.733961,121.782364
